"Barcode";"Product";"Price";"Quantity";"Sold";"Sales"
"";"Chicken & Mushroom";"11.00";30;15;"180.50"
"";"Pepper Steak";"9.00";30;17;"187.00"
"";"Burger";"11.00";50;45;"630.00"
"";"Spinach & Fetta";"9.00";30;12;"180.00"
"";"Shepherds Pie";"9.00";50;40;"740.00"
"";"Apples";"11.00";30;15;"180.50"
"";"Potatoes";"9.00";30;17;"187.00"
"";"Bananas";"11.00";50;45;"630.00"
"";"Grapes";"9.00";30;12;"180.00"
"";"Onions";"9.00";50;40;"740.00"
"";"Vanilla";"11.00";30;15;"180.50"
"";"Chocolate";"9.00";30;17;"187.00"
"";"Red Velvet";"11.00";50;45;"630.00"
"";"Cuppaccino";"9.00";30;12;"180.00"
"";"Berry";"9.00";50;40;"740.00"
"";"Vanilla";"11.00";30;15;"180.50"
"";"Chocolate";"9.00";30;17;"187.00"
"";"Red Velvet";"11.00";50;45;"630.00"
"";"Cuppaccino";"9.00";30;12;"180.00"
"";"Berry";"9.00";50;40;"740.00"
