"Barcode";"Product";"Price";"Quantity";"Sold";"Sales"
"";"Coke";"11.00";30;15;"180.50"
"";"Pepsi";"9.00";30;17;"187.00"
"";"Sprite";"11.00";50;45;"630.00"
"";"7Up";"9.00";30;12;"180.00"
"";"Mountain Dew";"9.00";50;40;"740.00"
"";"Chicken & Mushroom";"11.00";30;15;"180.50"
"";"Pepper Steak";"9.00";30;17;"187.00"
"";"Burger";"11.00";50;45;"630.00"
"";"Spinach & Fetta";"9.00";30;12;"180.00"
"";"Shepherds Pie";"9.00";50;40;"740.00"
"";"Chicken & Mushroom";"18.00";20;15;"270.00"
"";"Pepper Steak";"18.00";20;10;"180.00"
"";"Burger";"20.00";20;14;"280.00"
"";"Spinach & Fetta";"23.00";25;20;"460.00"
"";"Shepherds Pie";"9.00";50;40;"740.00"
"";"Chicken & Mushroom";"18.00";20;15;"270.00"
"";"Pepper Steak";"18.00";20;10;"180.00"
"";"Burger";"20.00";20;14;"280.00"
"";"Spinach & Fetta";"23.00";25;20;"460.00"
