Product Type:;Product;Price;Quantity;Sold;Sales
Fruits & Vegitables (per kg);Bananas(Prepacks);R10,00;80;70;R700,00
Fruits & Vegitables (per kg);Apples(Prepacks);R15,00;60;44;R660,00
Pies;Fetta & Spinach;R23,00;25;20;R460,00
Cooldrinks (500ml);Sprite;R11,00;60;40;R440,00
Cooldrinks (500ml);Coke;R11,00;60;30;R330,00
Fruits & Vegitables (per kg);Grapes(Bushels);R17,00;40;18;R306,00
Cupcakes;Chocolate;R15,00;24;20;R300,00
Fruits & Vegitables (per kg);Onions(Prepacks);R14,00;30;20;R280,00
Pies;Burger;R20,00;20;14;R280,00
Cooldrinks (500ml);Pepsi;R9,00;36;30;R270,00
Pies;Chicken & Mushroom;R18,00;20;15;R270,00
Cooldrinks (500ml);Fanta;R11,00;60;24;R264,00
Cupcakes;Cupaccino;R15,00;24;16;R240,00
Fruits & Vegitables (per kg);Potatoes(Prepacks);R15,00;30;16;R240,00
Cooldrinks (500ml);7Up;R9,00;36;25;R225,00
Cupcakes;Vanilla;R15,00;24;15;R225,00
Chocolate(Slabs);Milky Bar;R11,00;30;20;R220,00
Chocolate(Slabs);Beacon;R11,00;30;17;R187,00
Chocolate(Slabs);Cadbury ;R12,00;30;15;R180,00
Chocolate(Slabs);Aero;R15,00;30;12;R180,00
Cupcakes;Red Velvet;R18,00;24;10;R180,00
Pies;Pepper Steak;R18,00;20;10;R180,00
Cooldrinks (500ml);Mountain Dew;R9,00;36;19;R171,00
Chips;Simba;R7,50;50;21;R157,50
Fruits & Vegitables (per kg);Carrots(Prepacks);R12,00;30;12;R144,00
Chips;Lay's;R7,50;50;15;R112,50
Chips;Bubbles;R9,00;30;12;R108,00
Chocolate(Slabs);Bar One;R7,00;20;15;R105,00
Chocolate(Slabs);P.S;R8,00;20;9;R72,00
Chips;Nik Naks;R1,50;50;40;R60,00
Chips;Bigga Naks;R1,00;50;45;R45,00
